Txn Date,,Payment Type,Debit,Credit,Balance
14-Apr-21,,UPI, ,"4,000.00","4,974.02"
19-Apr-21,,CASH,"3,000.00", ,"1,974.02"
20-Apr-21,,UPI,11, ,"1,963.02"
23-Apr-21,,UPI,11, ,"1,952.02"
26-Apr-21,,UPI,11, ,"1,941.02"
28-Apr-21,,UPI,21, ,"1,920.02"
05-May-21,,UPI, ,"20,000.00","21,920.02"
05-May-21,,UPI,20, ,"21,900.02"
06-May-21,,UPI, ,"30,000.00","51,900.02"
07-May-21,,UPI, ,"30,000.00","81,900.02"
07-May-21,,Bank Transfer,"78,000.00", ,"3,900.02"
08-May-21,,UPI,539, ,"3,361.02"
10-May-21,,UPI, ,"4,000.00","7,361.02"
10-May-21,,UPI,"1,000.00", ,"6,361.02"
10-May-21,,UPI,1, ,"6,360.02"
10-May-21,,UPI,1, ,"6,359.02"
10-May-21,,UPI,1, ,"6,358.02"
12-May-21,,UPI,11, ,"6,347.02"
13-May-21,,UPI, ,539,"6,886.02"
14-May-21,,UPI,11, ,"6,875.02"
15-May-21,,UPI,555, ,"6,320.02"
17-May-21,,UPI,21, ,"6,299.02"
20-May-21,,CARD,147.5, ,"6,151.52"
20-May-21,,UPI,11, ,"6,140.52"
21-May-21,,UPI,11, ,"6,129.52"
26-May-21,,UPI,11, ,"6,118.52"
28-May-21,,UPI,11, ,"6,107.52"
29-May-21,,UPI,239, ,"5,868.52"
29-May-21,,UPI, ,240,"6,108.52"
01-Jun-21,,UPI,11, ,"6,097.52"
01-Jun-21,,UPI,599, ,"5,498.52"
01-Jun-21,,UPI,500, ,"4,998.52"
02-Jun-21,,UPI,11, ,"4,987.52"
05-Jun-21,,UPI, ,"4,000.00","8,987.52"
06-Jun-21,,UPI,500, ,"8,487.52"
07-Jun-21,,UPI,275, ,"8,212.52"
08-Jun-21,,CASH,"2,500.00", ,"5,712.52"
13-Jun-21,,UPI,11, ,"5,701.52"
14-Jun-21,,UPI,30, ,"5,671.52"
14-Jun-21,,UPI,11, ,"5,660.52"
15-Jun-21,,UPI,482, ,"5,178.52"
15-Jun-21,,UPI,18, ,"5,160.52"
16-Jun-21,,UPI,11, ,"5,149.52"
17-Jun-21,,UPI,11, ,"5,138.52"
20-Jun-21,,UPI,11, ,"5,127.52"
22-Jun-21,,UPI,11, ,"5,116.52"
25-Jun-21,,Bank Transfer, ,32,"5,148.52"
26-Jun-21,,UPI,10, ,"5,138.52"
26-Jun-21,,UPI,21, ,"5,117.52"
26-Jun-21,,UPI,35, ,"5,082.52"
28-Jun-21,,UPI,10, ,"5,072.52"
28-Jun-21,,UPI,11, ,"5,061.52"
29-Jun-21,,UPI, ,599,"5,660.52"
29-Jun-21,,UPI,599, ,"5,061.52"
02-Jul-21,,UPI,499, ,"4,562.52"
03-Jul-21,,UPI,11, ,"4,551.52"
04-Jul-21,,UPI, ,"6,000.00","10,551.52"
06-Jul-21,,CASH,"3,000.00", ,"7,551.52"
06-Jul-21,,UPI,11, ,"7,540.52"
07-Jul-21,,CASH,500, ,"7,040.52"
07-Jul-21,,CASH,500, ,"6,540.52"
07-Jul-21,,UPI,21, ,"6,519.52"
11-Jul-21,,UPI,100, ,"6,419.52"
11-Jul-21,,UPI,200, ,"6,219.52"
11-Jul-21,,UPI,100, ,"6,119.52"
11-Jul-21,,UPI,100, ,"6,019.52"
11-Jul-21,,UPI,100, ,"5,919.52"
11-Jul-21,,UPI,100, ,"5,819.52"
11-Jul-21,,UPI,100, ,"5,719.52"
11-Jul-21,,UPI,100, ,"5,619.52"
11-Jul-21,,UPI,100, ,"5,519.52"
13-Jul-21,,UPI,432, ,"5,087.52"
13-Jul-21,,UPI,21, ,"5,066.52"
15-Jul-21,,UPI,1, ,"5,065.52"
17-Jul-21,,UPI,70, ,"4,995.52"
18-Jul-21,,UPI, ,432,"5,427.52"
27-Jul-21,,UPI,760, ,"4,667.52"
27-Jul-21,,UPI,21, ,"4,646.52"
30-Jul-21,,UPI,286, ,"4,360.52"
30-Jul-21,,UPI,21, ,"4,339.52"
02-Aug-21,,UPI,11, ,"4,328.52"
04-Aug-21,,UPI,393, ,"3,935.52"
04-Aug-21,,UPI,21, ,"3,914.52"
04-Aug-21,,UPI,11, ,"3,903.52"
07-Aug-21,,UPI, ,286,"4,189.52"
07-Aug-21,,UPI, ,546.76,"4,736.28"
07-Aug-21,,UPI, ,"6,000.00","10,736.28"
09-Aug-21,,UPI,"2,400.00", ,"8,336.28"
10-Aug-21,,UPI,11, ,"8,325.28"
11-Aug-21,,UPI,399, ,"7,926.28"
12-Aug-21,,UPI,"1,118.88", ,"6,807.40"
12-Aug-21,,UPI,139, ,"6,668.40"
13-Aug-21,,UPI, ,168.24,"6,836.64"
13-Aug-21,,UPI,11, ,"6,825.64"
14-Aug-21,,CASH,"1,000.00", ,"5,825.64"
14-Aug-21,,UPI,"1,000.00", ,"4,825.64"
18-Aug-21,,UPI, ,393,"5,218.64"
20-Aug-21,,UPI, ,399,"5,617.64"
22-Aug-21,,UPI,500, ,"5,117.64"
25-Aug-21,,UPI,444, ,"4,673.64"
26-Aug-21,,UPI,11, ,"4,662.64"
28-Aug-21,,UPI,21, ,"4,641.64"
30-Aug-21,,UPI,80, ,"4,561.64"
30-Aug-21,,UPI,149, ,"4,412.64"
31-Aug-21,,UPI, ,"27,200.00","31,612.64"
31-Aug-21,,Bank Transfer,"27,216.52", ,"4,396.12"
03-Sep-21,,UPI, ,"8,000.00","12,396.12"
03-Sep-21,,UPI,"1,000.00", ,"11,396.12"
03-Sep-21,,UPI,500, ,"10,896.12"
05-Sep-21,,CASH,"2,000.00", ,"8,896.12"
05-Sep-21,,CASH,"1,000.00", ,"7,896.12"
05-Sep-21,,UPI,30, ,"7,866.12"
05-Sep-21,,UPI,21, ,"7,845.12"
08-Sep-21,,CASH,"1,000.00", ,"6,845.12"
11-Sep-21,,UPI,21, ,"6,824.12"
17-Sep-21,,Bank Transfer,50, ,"6,774.12"
20-Sep-21,,UPI,21, ,"6,753.12"
21-Sep-21,,UPI,599, ,"6,154.12"
21-Sep-21,,UPI, ,565,"6,719.12"
21-Sep-21,,UPI,10, ,"6,709.12"
21-Sep-21,,UPI,20, ,"6,689.12"
21-Sep-21,,UPI, ,35,"6,724.12"
21-Sep-21,,UPI, ,511,"7,235.12"
22-Sep-21,,CASH,"2,500.00", ,"4,735.12"
23-Sep-21,,UPI, ,"7,000.00","11,735.12"
23-Sep-21,,UPI,21, ,"11,714.12"
24-Sep-21,,UPI,260, ,"11,454.12"
24-Sep-21,,UPI,802.29, ,"10,651.83"
25-Sep-21,,UPI,11, ,"10,640.83"
25-Sep-21,,UPI, ,"40,000.00","50,640.83"
25-Sep-21,,UPI,500, ,"50,140.83"
25-Sep-21,,Bank Transfer, ,45,"50,185.83"
26-Sep-21,,UPI, ,"40,000.00","90,185.83"
26-Sep-21,,Bank Transfer,"78,000.00", ,"12,185.83"
26-Sep-21,,UPI,500, ,"11,685.83"
26-Sep-21,,UPI,700, ,"10,985.83"
26-Sep-21,,UPI, ,802.29,"11,788.12"
27-Sep-21,,UPI,349, ,"11,439.12"
27-Sep-21,,UPI,330, ,"11,109.12"
27-Sep-21,,UPI,50, ,"11,059.12"
27-Sep-21,,UPI,99, ,"10,960.12"
29-Sep-21,,UPI,21, ,"10,939.12"
30-Sep-21,,UPI,211, ,"10,728.12"
02-Oct-21,,UPI,399, ,"10,329.12"
03-Oct-21,,UPI,245, ,"10,084.12"
03-Oct-21,,Bank Transfer, ,1,"10,085.12"
04-Oct-21,,UPI, ,399,"10,484.12"
05-Oct-21,,UPI,56, ,"10,428.12"
05-Oct-21,,UPI,61, ,"10,367.12"
05-Oct-21,,UPI, ,56,"10,423.12"
06-Oct-21,,UPI, ,61,"10,484.12"
08-Oct-21,,UPI, ,211,"10,695.12"
09-Oct-21,,UPI,251, ,"10,444.12"
09-Oct-21,,UPI,100, ,"10,344.12"
09-Oct-21,,UPI,225, ,"10,119.12"
09-Oct-21,,UPI,80, ,"10,039.12"
09-Oct-21,,UPI,30, ,"10,009.12"
09-Oct-21,,UPI,40, ,"9,969.12"
09-Oct-21,,UPI, ,270,"10,239.12"
09-Oct-21,,UPI, ,170,"10,409.12"
10-Oct-21,,UPI, ,170,"10,579.12"
10-Oct-21,,UPI, ,30,"10,609.12"
10-Oct-21,,UPI, ,120,"10,729.12"
11-Oct-21,,Bank Transfer, ,1,"10,730.12"
11-Oct-21,,UPI,500, ,"10,230.12"
11-Oct-21,,Bank Transfer,59, ,"10,171.12"
12-Oct-21,,UPI,10, ,"10,161.12"
12-Oct-21,,UPI,320, ,"9,841.12"
13-Oct-21,,UPI,100, ,"9,741.12"
13-Oct-21,,UPI,245, ,"9,496.12"
17-Oct-21,,UPI, ,"28,000.00","37,496.12"
17-Oct-21,,Bank Transfer,"27,440.00", ,"10,056.12"
18-Oct-21,,UPI, ,540,"10,596.12"
18-Oct-21,,UPI,211, ,"10,385.12"
19-Oct-21,,UPI,555, ,"9,830.12"
19-Oct-21,,UPI,986.05, ,"8,844.07"
22-Oct-21,,UPI, ,"20,000.00","28,844.07"
22-Oct-21,,UPI, ,"20,000.00","48,844.07"
22-Oct-21,,UPI, ,"38,000.00","86,844.07"
22-Oct-21,,Bank Transfer,"78,000.00", ,"8,844.07"
30-Oct-21,,UPI,715, ,"8,129.07"
03-Nov-21,,UPI, ,100,"8,229.07"
03-Nov-21,,UPI,60, ,"8,169.07"
04-Nov-21,,UPI,21, ,"8,148.07"
04-Nov-21,,UPI,100, ,"8,048.07"
07-Nov-21,,UPI,27, ,"8,021.07"
07-Nov-21,,UPI,20, ,"8,001.07"
09-Nov-21,,UPI,85, ,"7,916.07"
09-Nov-21,,UPI,309, ,"7,607.07"
09-Nov-21,,UPI, ,30,"7,637.07"
09-Nov-21,,UPI, ,100,"7,737.07"
09-Nov-21,,UPI, ,100,"7,837.07"
11-Nov-21,,UPI,20, ,"7,817.07"
12-Nov-21,,UPI,60, ,"7,757.07"
12-Nov-21,,UPI, ,"23,000.00","30,757.07"
12-Nov-21,,UPI,"22,631.00", ,"8,126.07"
15-Nov-21,,UPI,11, ,"8,115.07"
18-Nov-21,,Bank Transfer,500, ,"7,615.07"
19-Nov-21,,UPI,350, ,"7,265.07"
19-Nov-21,,UPI, ,67.26,"7,332.33"
20-Nov-21,,UPI,612, ,"6,720.33"
21-Nov-21,,UPI,20, ,"6,700.33"
22-Nov-21,,UPI,11, ,"6,689.33"
26-Nov-21,,UPI,20, ,"6,669.33"
26-Nov-21,,UPI,20, ,"6,649.33"
30-Nov-21,,UPI,55, ,"6,594.33"
30-Nov-21,,UPI,20, ,"6,574.33"
01-Dec-21,,UPI,40, ,"6,534.33"
03-Dec-21,,UPI,215, ,"6,319.33"
03-Dec-21,,UPI, ,40,"6,359.33"
03-Dec-21,,UPI, ,40,"6,399.33"
03-Dec-21,,UPI, ,10,"6,409.33"
03-Dec-21,,UPI, ,35,"6,444.33"
05-Dec-21,,UPI,140, ,"6,304.33"
06-Dec-21,,CASH,"1,000.00", ,"5,304.33"
